title,date,text,name
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    OK. Thank you for that question, Senator. In _x000D_
talking about the Migration Accords, the Migration Accord or _x000D_
agreement that we have with Cuba dates back to the mass _x000D_
migrations of the mid-1990s. So since the 1994-95 timeframe, we _x000D_
have had agreement that allows for the direct repatriation of _x000D_
Cuban migrants who are interdicted at sea and are then screened _x000D_
to ensure that they are not going to be subject to persecution _x000D_
or torture upon potential return to Cuba. We then have a well-_x000D_
facilitated repatriation mechanism by which Coast Guard cutters _x000D_
go into a particular Cuban port, repatriate those migrants to _x000D_
the custody of the Ministry of the Interior._x000D_
    I had the opportunity from 1998 to 2000 to serve as the _x000D_
Coast Guard's essentially liaison officer to the Cuban Border _x000D_
Guard. And since 2000, we have had somebody permanently _x000D_
stationed at the U.S. Interests Section in Havana to help _x000D_
facilitate that part of the relationship, and it is a very _x000D_
professional working relationship that we have with the Cuban _x000D_
Border Guard. And as relationships change with Cuba, we see _x000D_
that potentially being an avenue for continued cooperation in _x000D_
other matters of law enforcement and security.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    We would say with all forms of illicit _x000D_
migration and unsafe migration by sea, they are often driven _x000D_
by, if not the policy itself, the perception of the policy, _x000D_
which is often exploited by criminal migrant smugglers who _x000D_
charge people money on the dream that they will arrive in the _x000D_
United States.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Thank you for that question, Senator. I _x000D_
think I will tackle the ice-breaking piece of it first and then _x000D_
the security aspects._x000D_
    With regard to ice breaking, we have seen record winters, _x000D_
particularly the winter of 2014, and a cooperative agreement _x000D_
between the U.S. Coast Guard and the Canadian Coast Guard _x000D_
provided ice breaker coverage to the extent that the United _x000D_
States, we are not prepared to provide on our own. We have a _x000D_
number of 140-foot ice-breaking tugs as well as our 225-foot _x000D_
buoy tenders as well as the Coast Guard cutter Mackinaw, our _x000D_
only heavy ice breaker on the Great Lakes._x000D_
    Canada has a little bit more capacity and works with us _x000D_
very cooperatively on ice breaking to keep the shipping _x000D_
channels open as long as possible, and we foresee that _x000D_
relationship continuing in the future. We also have an in-_x000D_
service vessel sustainment program to upgrade the 140-foot ice-_x000D_
breaking tugs to continue them in service for an extended _x000D_
period of time. So we think that from an ice-breaking _x000D_
standpoint, we have sufficient capacity on the Great Lakes for _x000D_
the foreseeable future for most winters, with help from the _x000D_
Canadians in the heaviest periods._x000D_
    With regard to the security relationship, we have a great _x000D_
working relationship with Canadians both from an intelligence _x000D_
and operations perspective. The Coast Guard has a ship rider _x000D_
agreement with the Royal Canadian Mounted Police that cross-_x000D_
deputizes officers of the two services to ride on each other's _x000D_
vessels so the border cannot be used as an escape route _x000D_
essentially for someone who is conducting some type of _x000D_
nefarious activity. We also have an intelligence relationship _x000D_
with Canada that allows us to share information both about the _x000D_
border itself and about other threats._x000D_
    And the last point I want to make about Canada is that they _x000D_
also recognize that border threats do not emanate right at _x000D_
their border with the United States. Many of them come from _x000D_
farther away. So the government of Canada, through the Canadian _x000D_
Navy, provides Canadian naval ships that assist us with Coast _x000D_
Guard boarding teams on board to interdict drugs as far away as _x000D_
the coast of South America. So they have been terrific partners _x000D_
in all ways.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    We work that primarily in conjunction with _x000D_
Border Patrol, and I would leave that to Mr. Alles.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    OK. It is slightly different than that, _x000D_
Senator. The 11 to 18 percent is of the estimated flow, total _x000D_
drug flow toward the United States, we interdict--by weight, we _x000D_
reduce that supply by about 11 to 18 percent with a national _x000D_
target of 36 percent, going up to 40._x000D_
    With regard to individual events about which we have known _x000D_
intelligence, JIATF South and SOUTHCOM estimate that they can _x000D_
only target about 37 percent of those events, but that overall, _x000D_
once they locate a vessel or actual--the Coast Guard's kind of _x000D_
interdiction performance, once a vessel has been sighted as a _x000D_
target, our interdiction performance is between 85 and 90 _x000D_
percent. So it really is a matter of turning the known _x000D_
intelligence into a sighting or a detection that we can then _x000D_
target with the vessel, with the ship-helicopter-boarding team _x000D_
combination.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    I would say that as a government, aviation, _x000D_
long--persistent surveillance, whether it is in the form of _x000D_
fixed-wing aviation, national assets, unmanned systems, _x000D_
persistent surveillance that can be targeted until a very _x000D_
thinly populated fleet of surface vessels can get there.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Correct. And when you mention the vast _x000D_
ocean, just in the eastern Pacific alone, the area that we are _x000D_
talking about is an area equivalent to the continental United _x000D_
States that may be patrolled by three to four ships at a time.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    All of which have to refuel somewhere on the _x000D_
east coast, notionally speaking. And I mentioned earlier, in _x000D_
addition to the information, much of which we have, the _x000D_
aviation, much of which we do not have, and the ships on _x000D_
station, right now the Coast Guard is significantly challenged _x000D_
by our ability to keep our older ships, our 30-to 50-year-old _x000D_
medium-endurance cutters on station. Last week alone, while we _x000D_
projected to have seven ships on station in the Caribbean and _x000D_
the Florida Straits, we actually only had two because five of _x000D_
them had mission-limiting casualties. And so the _x000D_
recapitalization of our offshore patrol cutter fleet becomes to _x000D_
us the linchpin of success for decades to come.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Well, thanks to some great efforts by our _x000D_
logistic system, those ships are back up and operating. But, _x000D_
again, we missed almost a week on station for many of them, and _x000D_
that time on station cannot be regained.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    I think perhaps Mr. Alles could comment on _x000D_
that more effectively based on his experience in aviation?",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    In the maritime domain, the number of Cuban _x000D_
migrants that have attempted to come to the United States has _x000D_
upticked over the past 2 years, fiscal years 2014 and 2015, as _x000D_
compared with the 5 years prior. But, still, that level remains _x000D_
below kind of our 10-year historical average._x000D_
    So we perceived a slight uptick shortly after the _x000D_
announcement of change in relationships. As I mentioned _x000D_
earlier, we think that the perception of U.S. policy or _x000D_
potential change in U.S. policy is often a driver of migration _x000D_
and often fueled by migrant-smuggling organizations that profit _x000D_
from that uncertainty.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    That number has since gone back down on a _x000D_
month-to-month basis compared to what we saw in December and _x000D_
January. And, again, it is back down to historical norms now.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    That is accurate, sir. Normally, in the _x000D_
winter months the flow trails off, so those numbers were fairly _x000D_
high. The numbers now month to month are about 300, which, for _x000D_
the summertime, is about normal and certainly well within the _x000D_
normal range. And I would add that this perception of policy _x000D_
issue, as Mr. Alles said before, applies not only to Cuban _x000D_
migrants but to Haitian migrants as well. A few years ago, we _x000D_
saw a significant spike in Haitian migrants trying to go from _x000D_
the Dominican Republic toward Puerto Rico. We were then able to _x000D_
come up with a policy solution to that of expedited removal of _x000D_
Haitians who had landed in Puerto Rico or the islands of the _x000D_
pass between Dominican Republic and Puerto Rico, and we were _x000D_
able to get a lid on that._x000D_
    So it is a combination of policy, operations, but also _x000D_
public messaging in addition to the additional operations _x000D_
effort that we made.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Correct. And as I mentioned before, _x000D_
smuggling organizations absolutely exploit uncertainty or _x000D_
perceived changes in policy to profit from people's desire to _x000D_
get to the United States.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Thank you for that question, Senator. We _x000D_
have had some successes in partnership with CBP on using _x000D_
unmanned aerial systems for interdictions. I recall a very good _x000D_
case off of Puerto Rico where a maritime patrol aircraft first _x000D_
spotted a suspect vessel, then handed it off to an unmanned _x000D_
aerial system that maintained surveillance until a Coast Guard _x000D_
cutter was able to get on scene and do the interdiction. So we _x000D_
have had successes with that._x000D_
    The Coast Guard, in addition to the partnership program _x000D_
with CBP on the Guardian, has also two other unmanned aerial _x000D_
system programs. One is a shipboard UAS program. We have kind _x000D_
of had some fits and starts on that. Some of them, as you have _x000D_
mentioned, Senator, are more people-intensive than we first _x000D_
would have anticipated. In fact, I think within DOD they have _x000D_
actually changed terms from ``unmanned'' to ``remotely _x000D_
piloted'' to put emphasis on the fact that there is still a _x000D_
pilot, just not on board the asset._x000D_
    And then we are also working on small, essentially hand-_x000D_
launched unmanned aerial systems for closer-range surveillance _x000D_
and for a variety of applications. Right now we are testing _x000D_
them in the Arctic for ice breaking, to find leads in the ice _x000D_
and other environmental concerns. So we have multiple programs, _x000D_
all of them in some nascent stage, but we have had some _x000D_
successes.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Thank you, Senator. As I mentioned earlier, _x000D_
there is a Central America strategy now developed out of the _x000D_
National Security Council staff, and Vice President Biden is _x000D_
the one who----",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    And I think that is terrific, sir. There are _x000D_
three key aspects to that strategy. They include security, _x000D_
governance, and prosperity. And I think the Coast Guard has a _x000D_
role to play, particularly in security and governance, but _x000D_
leading to prosperity. We talked a little bit earlier about _x000D_
precursor chemicals in Guatemala. So shipping out of Central _x000D_
America toward Wilmington, for example, with bananas and juice _x000D_
concentrates could be an important part of their economy if _x000D_
they had a relief from the pressure of corruption and the _x000D_
corrosive effect of cocaine traffic moving through Central _x000D_
America. So I think the appropriations for funding that _x000D_
strategy are a key component of moving forward there, and from _x000D_
a Coast Guard perspective, we want to put more people in the _x000D_
embassies in the country teams to improve our performance in _x000D_
all three aspects: security, governance, and prosperity.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    I would say, sir, that the closest analog _x000D_
might be Colombia in the late 1980s and early 1990s, and _x000D_
perhaps Central America is in about that condition now, but _x000D_
with a combination----",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Which is not good, but also not hopeless. _x000D_
With a combination of significant national effort by the _x000D_
Government of Colombia and the people of Colombia, as well as a _x000D_
relatively small investment from the United States of people _x000D_
and money and time and resources, Colombia has reduced its _x000D_
murder rate, substantially increased its Gross Domestic Product _x000D_
(GDP), and reestablished the rule of law almost over the _x000D_
entirety of the country, with the exception----",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,    It absolutely did.,brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Right, sir. And so the goal of the Central _x000D_
America strategy is to try to address at the same time the _x000D_
security concerns, the governance, the rule of law, and the _x000D_
institutions there, as well as improving the prosperity so that _x000D_
there is no longer the roots of corruption and also the _x000D_
pressure on people to move out of Central America so that they _x000D_
can rebuild their own countries and economies.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    What had happened, sir, was following the _x000D_
earthquake in Haiti in 2010, we had stopped removal of _x000D_
Haitians. And I have to different between repatriation--in the _x000D_
Coast Guard we use repatriation, maritime repatriation, _x000D_
migrants who are interdicted at sea who return to their country _x000D_
of origin or departure--from removal, which is the process _x000D_
after a migrant has landed in the United States.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    So we never stopped post-Haiti earthquake _x000D_
the maritime repatriation process. Thankfully, that continued _x000D_
to work, and there was no increase in migration from Haiti in _x000D_
2010 subsequent to the earthquake._x000D_
    However, the expedited removal of Haitians who were already _x000D_
in the United States was stopped at that time and was not _x000D_
resumed. And by 2013, migrant-smuggling organizations in the _x000D_
Dominican Republic began to take advantage of that by bringing _x000D_
Haitians already in the Dominican Republic to uninhabited _x000D_
islands that are U.S. territory between Puerto Rico and the _x000D_
Dominican Republic.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,    Correct.,brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Right, accompanied by a spike in deaths and _x000D_
injuries of migrants who were attempting to make that cross.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,    Correct.,brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    So we did a couple things. First, working _x000D_
with the Government of the Dominican Republic, we asked them to _x000D_
increase their shore-side enforcement to try to stop this _x000D_
traffic from taking place. And within the U.S. Government, we _x000D_
were able to within our Department and with interagency _x000D_
partners--State, Justice, and others--we were able to _x000D_
reinstitute the policy of expedited removal, and ICE _x000D_
enforcement and removal operations began removing migrants who _x000D_
had recently arrived in Puerto Rico or those uninhabited _x000D_
islands, and very quickly, once that became public knowledge, _x000D_
the traffic across that vector essentially dried up.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,    Correct.,brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Thank you, Senator, for the opportunity to _x000D_
speak before the Committee today, and I will just reemphasize _x000D_
that for us in the Coast Guard, the most important aspect of us _x000D_
being able to maintain maritime border security for decades to _x000D_
come is going to be the recapitalization of the cutter fleet _x000D_
through the Offshore Patrol Cutter Program. So your continued _x000D_
support for that will help us out greatly in accomplishing not _x000D_
only drug interdiction but all the other missions to which we _x000D_
are appointed.",brown
